Density,Abdomen,Chest,Hip,Weight
1.0708,85.2,93.1,94.5,154.25
1.0853,83.0,93.6,98.7,173.25
1.0414,87.9,95.8,99.2,154.0
1.0751,86.4,101.8,101.2,184.75
1.034,100.0,97.3,101.9,184.25
1.0502,94.4,104.5,107.8,210.25
1.0549,90.7,105.1,100.3,181.0
1.0704,88.5,99.6,97.1,176.0
1.09,82.5,100.9,99.9,191.0
1.0722,88.6,99.6,104.1,198.25
1.083,83.6,101.5,98.2,186.25
1.0812,90.9,103.6,107.7,216.0
1.0513,91.6,102.0,103.9,180.5
1.0505,101.8,104.1,108.6,205.25
1.0484,96.4,101.3,100.1,187.75
1.0512,92.8,99.1,99.2,162.75
1.0333,96.4,101.9,105.2,195.75
1.0468,97.5,107.6,107.0,209.25
1.0622,89.6,106.8,102.4,183.75
1.061,100.5,106.2,109.0,211.75
1.0551,95.9,103.3,104.9,179.0
1.064,98.8,111.4,104.8,200.5
1.0631,76.4,86.0,94.6,140.25
1.0584,80.0,86.7,93.4,148.75
1.0668,76.3,90.2,95.8,151.25
1.0911,79.7,89.6,96.5,159.25
1.0811,74.6,88.6,85.3,131.5
1.0468,88.7,97.4,94.7,148.0
1.091,73.9,93.5,88.5,133.25
1.079,83.5,97.4,98.7,160.75
1.0716,88.7,100.5,99.8,182.0
1.0862,84.5,93.5,100.6,160.25
1.0719,79.1,93.0,94.5,168.0
1.0502,100.5,111.7,108.3,218.5
1.0263,115.6,117.0,116.1,247.25
1.0101,113.1,118.5,113.8,191.75
1.0438,100.9,106.5,106.2,202.25
1.0346,98.8,105.6,104.8,196.75
1.0202,148.1,136.2,147.7,363.15
1.0258,108.1,114.8,102.5,203.0
1.0217,126.2,128.3,125.6,262.75
1.025,104.3,106.0,115.5,205.0
1.0279,111.2,113.3,114.1,217.0
1.0269,104.3,106.6,106.0,212.0
1.0814,76.0,85.1,88.2,125.25
1.067,81.5,96.6,97.2,164.25
1.0742,73.7,88.2,88.5,133.5
1.0665,79.5,89.8,92.7,148.5
1.0678,83.4,92.3,90.4,135.75
1.0903,70.4,83.4,87.2,127.5
1.0756,86.7,90.2,98.3,158.25
1.084,77.9,89.2,91.0,139.25
1.0807,82.0,89.7,89.1,137.25
1.0848,79.6,93.3,91.6,152.75
1.0906,77.6,87.6,88.6,136.25
1.0473,100.0,107.6,99.6,198.0
1.0524,99.8,100.0,102.5,181.5
1.0356,104.2,111.5,105.8,201.25
1.028,105.3,115.4,97.0,202.5
1.043,98.3,104.8,99.6,179.75
1.0396,104.8,112.3,103.1,216.0
1.0317,94.7,102.9,100.8,178.75
1.0298,102.4,107.6,99.4,193.25
1.0403,99.7,105.3,99.7,178.0
1.0264,105.5,105.3,108.3,205.5
1.0313,100.3,103.0,104.2,183.5
1.0499,83.9,90.0,93.9,151.5
1.0673,86.6,95.4,91.8,154.75
1.0847,78.4,89.3,96.1,155.25
1.0693,84.6,94.4,94.3,156.75
1.0439,91.5,97.6,98.5,167.5
1.0788,82.8,88.5,95.5,146.75
1.0796,82.9,93.6,96.3,160.75
1.068,76.0,87.7,88.6,125.0
1.072,83.3,93.4,93.0,143.0
1.0666,81.8,91.6,94.8,148.25
1.079,78.8,91.6,94.3,162.5
1.0483,95.0,102.0,98.3,177.75
1.0498,95.4,96.4,99.3,161.25
1.056,98.6,102.7,100.2,171.25
1.0283,95.8,97.7,97.1,163.75
1.0382,89.0,97.1,96.9,150.25
1.0568,97.8,103.1,99.6,190.25
1.0377,94.9,101.8,95.0,170.75
1.0378,99.8,101.4,96.2,168.0
1.0386,89.7,98.9,96.2,167.0
1.0648,88.1,97.5,96.9,157.75
1.0462,90.9,104.3,93.8,160.0
1.08,86.0,97.3,99.3,176.75
1.0666,86.5,96.7,98.3,176.0
1.052,95.6,99.7,102.2,177.0
1.0573,93.2,101.9,100.6,179.75
1.0795,83.1,97.2,95.4,165.25
1.0424,97.5,106.6,100.6,192.5
1.0785,88.8,99.6,101.4,184.25
1.0991,99.2,113.2,107.5,224.5
1.077,91.6,99.1,102.4,188.75
1.073,86.7,99.4,96.2,162.5
1.0582,88.2,95.1,92.8,156.5
1.0484,94.0,107.5,103.7,197.0
1.0506,95.0,106.5,101.7,198.5
1.0524,92.0,99.1,98.3,173.75
1.053,89.2,96.7,98.3,172.75
1.048,95.5,103.5,101.6,196.75
